date,event_name,category,event_description
1987-11-30,OPEC 82nd Meeting,Energy Policy,"OPEC set a target price of $18 per barrel, signaling a shift away from the market-share wars of 1986 toward coordinated price stabilization."
1989-11-09,Fall of the Berlin Wall,Geopolitical,"Marked the symbolic end of the Cold War, leading to the collapse of the Soviet Union and opening large Russian oil reserves to global markets."
1990-08-02,Invasion of Kuwait,Conflict,"Iraq’s invasion of Kuwait caused an immediate supply shock, doubling oil prices and triggering the Gulf War."
1997-11-01,The Jakarta Mistake,Energy Policy,"OPEC increased production quotas just as the Asian Financial Crisis reduced demand, creating a severe supply glut and collapsing prices."
2001-09-11,September 11 Attacks,Geopolitical,"The attacks on the United States initiated the War on Terror and permanently increased the geopolitical risk premium in oil markets."
2003-03-20,Invasion of Iraq,Conflict,"A US-led invasion removed a major oil producer from the market for years and reshaped Middle Eastern supply dynamics."
2008-07-11,Oil All-Time High,Financial,"Brent crude reached a record high amid the commodity supercycle driven by rapid demand growth from China and India."
2008-09-15,Lehman Brothers Collapse,Financial,"The collapse triggered the Global Financial Crisis, causing a sudden collapse in oil demand and prices."
2011-01-01,Arab Spring,Social/Political,"Widespread uprisings across the MENA region disrupted oil production, particularly in Libya, increasing supply uncertainty."
2011-12-01,US Shale Boom,Technology,"Advances in hydraulic fracturing enabled rapid growth in US oil production, challenging OPEC’s long-term market control."
2014-11-27,OPEC Market Share War,Energy Policy,"OPEC, led by Saudi Arabia, refused to cut production despite oversupply, triggering a prolonged price collapse."
2016-12-10,Formation of OPEC+,Energy Policy,"OPEC and non-OPEC producers agreed to coordinate output, creating a new supply management regime."
2020-04-20,COVID-19 Oil Shock,Financial,"A collapse in global demand and storage capacity during COVID-19 caused extreme price dislocations, including negative WTI prices and sharp Brent declines."
2022-02-24,Invasion of Ukraine,Conflict,"Russia’s invasion of Ukraine triggered sanctions, supply re-routing, and a major global energy crisis."
2022-09-26,Nord Stream Sabotage,Infrastructure,"Explosions damaged Nord Stream pipelines, permanently altering Europe’s energy relationship with Russia."
2008-08-01,Post-Peak Slide,Economic,"Brent prices continued a sharp decline from the July all-time high of $147 as high prices triggered global demand destruction."
2008-08-07,Russo-Georgian War,Geopolitical,"Conflict threatened the BTC pipeline corridor; caused a temporary price spike and volatility before economic fears resumed dominance."
2008-08-31,USD Strengthening,Financial,"A surging US Dollar and deepening subprime crisis forced speculators to liquidate oil positions, driving Brent toward the $100 floor."
